StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"QLD"," C","1","CLUSE","Jennifer","Australian Democrats",17
"QLD"," C","2","CLUSE","Jennifer","Australian Democrats",17
"QLD"," C","1","SCHUBACK","Peter","Australia First Party",34
"QLD"," C","2","SCHUBACK","Peter","Australia First Party",34
"QLD"," C","1","MAINE","Nick","Australia First Party",35
"QLD"," C","2","MAINE","Nick","Australia First Party",35
"QLD"," C","1","ALBERTS","Kat","Secular Party of Australia",45
"QLD"," C","2","ALBERTS","Kat","Secular Party of Australia",45
"QLD"," C","1","SHELTON","Peter","Secular Party of Australia",46
"QLD"," C","2","SHELTON","Peter","Secular Party of Australia",46
"QLD"," C","1","CARDWELL","Terence Leonard","The Climate Sceptics",53
"QLD"," C","2","CARDWELL","Terence Leonard","The Climate Sceptics",53
"QLD"," C","1","JONES","Lance Herbert","The Climate Sceptics",54
"QLD"," C","2","JONES","Lance Herbert","The Climate Sceptics",54
"QLD"," C","1","THIES","Robert","Citizens Electoral Council",55
"QLD"," C","2","THIES","Robert","Citizens Electoral Council",55
"QLD"," C","1","HETHERINGTON","Maurice Verney","Citizens Electoral Council",56
"QLD"," C","2","HETHERINGTON","Maurice Verney","Citizens Electoral Council",56
"QLD"," C","1","BRANDIS","George Henry","Liberal National Party of Queensland",30
"QLD"," C","2","BRANDIS","George Henry","Liberal National Party of Queensland",26
"QLD"," C","1","JOYCE","Barnaby","Liberal National Party of Queensland",29
"QLD"," C","2","JOYCE","Barnaby","Liberal National Party of Queensland",25
"QLD"," C","1","MASON","Brett","Liberal National Party of Queensland",28
"QLD"," C","2","MASON","Brett","Liberal National Party of Queensland",24
"QLD"," C","1","TROOD","Russell","Liberal National Party of Queensland",27
"QLD"," C","2","TROOD","Russell","Liberal National Party of Queensland",23
"QLD"," C","1","BOYD","Julie","Liberal National Party of Queensland",26
"QLD"," C","2","BOYD","Julie","Liberal National Party of Queensland",22
"QLD"," C","1","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",43
"QLD"," C","2","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",43
"QLD"," C","1","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",44
"QLD"," C","2","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",44
"QLD"," C","1","GIBSON","Desiree Lee","Australian Sex Party",59
"QLD"," C","2","GIBSON","Desiree Lee","Australian Sex Party",59
"QLD"," C","1","SHEEN","Tim","Australian Sex Party",60
"QLD"," C","2","SHEEN","Tim","Australian Sex Party",60
"QLD"," C","1","WATERS","Larissa","The Greens",19
"QLD"," C","2","WATERS","Larissa","The Greens",19
"QLD"," C","1","CONNORS","Elizabeth Louise Alice","The Greens",20
"QLD"," C","2","CONNORS","Elizabeth Louise Alice","The Greens",20
"QLD"," C","1","STIRLING","Jenny","The Greens",21
"QLD"," C","2","STIRLING","Jenny","The Greens",21
"QLD"," C","1","WATSON","Sam","Socialist Alliance",49
"QLD"," C","2","WATSON","Sam","Socialist Alliance",49
"QLD"," C","1","LOWE","David","Socialist Alliance",50
"QLD"," C","2","LOWE","David","Socialist Alliance",50
"QLD"," C","1","LUDWIG","Joe","Australian Labor Party",25
"QLD"," C","2","LUDWIG","Joe","Australian Labor Party",30
"QLD"," C","1","McLUCAS","Jan","Australian Labor Party",24
"QLD"," C","2","McLUCAS","Jan","Australian Labor Party",28
"QLD"," C","1","SMITH","David","Australian Labor Party",23
"QLD"," C","2","SMITH","David","Australian Labor Party",29
"QLD"," C","1","FENTIMAN","Shannon","Australian Labor Party",22
"QLD"," C","2","FENTIMAN","Shannon","Australian Labor Party",27
"QLD"," C","1","FRYAR","Jim","Liberal Democrats (LDP)",41
"QLD"," C","2","FRYAR","Jim","Liberal Democrats (LDP)",41
"QLD"," C","1","FULTON","Robert","Liberal Democrats (LDP)",42
"QLD"," C","2","FULTON","Robert","Liberal Democrats (LDP)",42
"QLD"," C","1","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",38
"QLD"," C","2","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",38
"QLD"," C","1","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",39
"QLD"," C","2","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",39
"QLD"," C","1","JACKSON","Noel W","D.L.P. - Democratic Labor Party",40
"QLD"," C","2","JACKSON","Noel W","D.L.P. - Democratic Labor Party",40
"QLD"," C","1","BRICE","Malcolm","Christian Democratic Party",51
"QLD"," C","2","BRICE","Malcolm","Christian Democratic Party",51
"QLD"," C","1","VOGEL","Tony","Christian Democratic Party",52
"QLD"," C","2","VOGEL","Tony","Christian Democratic Party",52
"QLD"," C","1","WHITE","Mark","Independent",9
"QLD"," C","2","WHITE","Mark","Independent",9
"QLD"," C","1","BAMBRICK","Don","Independent",10
"QLD"," C","2","BAMBRICK","Don","Independent",10
"QLD"," C","1","SMITH","Mark Leslie Chapman","Independent",11
"QLD"," C","2","SMITH","Mark Leslie Chapman","Independent",11
"QLD"," C","1","WIRTH","Jarrod John","Independent",12
"QLD"," C","2","WIRTH","Jarrod John","Independent",12
"QLD"," C","1","PYKE","Peter","",13
"QLD"," C","2","PYKE","Peter","",13
"QLD"," C","1","CARROLL","Maurie","Independent",14
"QLD"," C","2","CARROLL","Maurie","Independent",14
"QLD"," D","1","READING","Scott","Senator On-Line",26
"QLD"," D","1","EMBREY","Joh","Senator On-Line",27
"QLD"," D","1","VETTER","Anne","Carers Alliance",28
"QLD"," D","1","HORNE","Vicki","Carers Alliance",29
"QLD"," D","1","SPENCER","Paul","",31
"QLD"," D","1","SPENCER","Mary","",32
"QLD"," D","1","FRANCIS","Wendy","Family First",1
"QLD"," D","1","FINDLAY","Peter","Family First",2
"QLD"," D","1","NICKSON","Amanda","Family First",3
"QLD"," D","1","PETER","Andrew Mark","Shooters and Fishers",24
"QLD"," D","1","HUGGETT","Chris","Shooters and Fishers",25
